reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
4be8df95-b774-41dd-a287-9bbd23983119,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"bug/ keamanan ? aplikasi lama ga di buka ketika mau buka selalu minta masukin akun, tapi masukin akun yang sudah ada tidak bisa masuk begitu juga setelah pembaruan saya sudah beberapa kali ganti pasword",2,0,4.5.4,2025-09-19 20:37:03,,,4.5.4
a51def94-ee10-4e04-a8d5-7be92e021e18,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Armada sangat sedikit butuh waktu yg lama untuk menunggu. Aplikasinya juga banyak kendala,2,0,,2025-09-18 19:32:01,,,
211a5366-09c3-4917-87ed-a3d2263e3759,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"sangat membantu,,bisa pilih kursi tanpa harus pergi ke loket",5,0,,2025-09-16 17:30:00,,,
f0849b7c-bf16-4315-a583-8834476c30a7,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Pelayanannya baik,5,0,,2025-09-16 15:38:28,,,
3b5c4e97-01de-4c4c-9415-6f9ff4ce2d32,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,sangat membantu,5,0,4.5.4,2025-09-15 15:31:35,,,4.5.4
94296249-562c-4b75-9e64-2a0588b15f9f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Bagus memberikan kemudahan beli tiket online, tapi sayangnya kenapa tidak bisa menyimpan data calon penumpang seperti aplikasi KAI",4,0,4.5.4,2025-09-15 11:23:50,,,4.5.4
f9510859-5bea-4cce-8544-d0729eb46551,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,kok aku ga bisa bayar melalui spay later,1,0,,2025-09-13 14:07:36,,,
72dd2a73-ef18-47f0-91a5-2ba3cf9be9f3,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,gk bisa login kode otpnya SALAH TERUUUSS,1,0,4.5.4,2025-09-13 06:33:55,,,4.5.4
c043097f-1c9f-43c2-a466-28727eb80efe,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Keren.,5,0,4.5.3,2025-09-10 23:26:00,,,4.5.3
f448f2bf-c1e9-41d5-96c4-71df63eccce9,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,good 👍👍👍,5,0,4.0.3,2025-09-10 08:07:38,,,4.0.3
